"Discharge of wastewater (Physical water accounts) by discharge,"
"industry and time"

" "," ","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"UDLTOT Discharge of wastewater, total"
" ","ETOT Industries and households",637924,638971,647575,667267,648807,648861,608830,603935,634177,607267,641733,633532,607782,607240,612813
" ","EHUSHOLD Households",230363,231889,233358,237240,224044,208380,209472,224594,235105,230187,246104,245029,234014,230704,228443
" ","EV Total industries",407561,407082,414217,430027,424763,440481,399357,379342,399073,377080,395629,388503,373768,376535,384371
" ","VA A Agriculture, forestry and fishing",304193,307124,312881,333675,322373,334346,288657,281829,295306,276875,294727,290961,274345,276172,287046
" ","V01000 01000 Agriculture and horticulture",13676,12594,13220,12832,14083,14423,14527,12575,14305,14127,13529,13439,13298,13234,12590
" ","V010000 010000 Agriculture and horticulture",13676,12594,13220,12832,14083,14423,14527,12575,14305,14127,13529,13439,13298,13234,12590
" ","V02000 02000 Forestry",24,48,51,28,32,41,34,25,24,40,25,32,26,25,25
" ","V020000 020000 Forestry",24,48,51,28,32,41,34,25,24,40,25,32,26,25,25
" ","V03000 03000 Fishing",290492,294483,299611,320814,308258,319882,274097,269229,280977,262709,281173,277490,261021,262912,274431
" ","V030000 030000 Fishing",290492,294483,299611,320814,308258,319882,274097,269229,280977,262709,281173,277490,261021,262912,274431
" ","VB B Mining and quarrying",128,63,88,85,74,86,99,75,97,134,116,69,89,111,130
" ","V06090 06090 Mining and quarrying",128,63,88,85,74,86,99,75,97,134,116,69,89,111,130
" ","V060000 060000 Extraction of oil and gas",8,7,7,6,7,7,14,14,29,23,11,11,13,21,21
" ","V080090 080090 Extraction of gravel and stone",41,41,47,43,36,42,39,37,44,47,73,48,33,48,67
" ","V090000 090000 Mining support service activities",79,14,34,36,31,37,46,24,24,64,31,10,42,42,41
" ","VC C Manufacturing",50592,48767,49093,48062,53325,53165,54302,49328,54861,52006,52832,51600,51360,50210,49699
" ","VCA CA Manufacture of food products, beverages and tobacco",28466,25855,27352,26278,30694,29221,28954,25589,29849,27831,28058,29170,28308,27972,27464
" ","V10120 10120 Manufacture of food products, beverages and tobacco",28466,25855,27352,26278,30694,29221,28954,25589,29849,27831,28058,29170,28308,27972,27464
" ","V100010 100010 Production of meat and meat products",8750,7519,8283,8183,8878,9154,9249,7236,8138,8314,7726,8218,8037,7094,7130
" ","V100020 100020 Processing and preserving of fish",2193,1846,1639,1741,1914,2290,2374,2061,1989,1627,1883,1730,1585,1394,1379
" ","V100030 100030 Manufacture of dairy products",6713,5987,6691,7507,9394,7646,7251,7524,9032,9136,9053,8985,8336,8689,8686
" ","V100040 100040 Manufacture of grain mill and bakery products",1049,957,1229,750,1260,1179,904,857,888,1212,1138,976,1148,1131,1169
" ","V100050 100050 Other manufacture of food products",5730,5416,5974,4832,5933,5559,5641,4870,6236,4573,5682,7178,7151,7327,6749
" ","V110000 110000 Manufacture of beverages",3983,4105,3511,3225,3300,3366,3521,3025,3553,2954,2561,2073,2041,2333,2346
" ","V120000 120000 Manufacture of tobacco products",49,25,25,40,15,27,13,16,14,16,15,10,9,3,3
" ","VCB CB Textiles and leather products",418,381,258,245,209,212,248,215,235,210,200,190,190,214,211
" ","V13150 13150 Textiles and leather products",418,381,258,245,209,212,248,215,235,210,200,190,190,214,211
" ","V130000 130000 Manufacture of textiles",286,348,248,227,193,195,220,187,204,191,169,151,157,166,161
" ","V140000 140000 Manufacture of wearing apparel",7,7,5,4,9,12,19,19,22,13,25,39,32,47,47
" ","V150000 150000 Manufacture of leather and footwear",125,26,5,14,7,4,9,9,9,5,6,1,2,2,2
" ","VCC CC Wood and paper products and printing",3326,3257,1276,1401,1213,885,2114,1468,1506,1586,1306,875,1227,1023,1024
" ","V16000 16000 Manufacture of wood and wood products",232,291,277,288,283,215,166,158,125,135,133,158,108,80,86
" ","V160000 160000 Manufacture of wood and wood products",232,291,277,288,283,215,166,158,125,135,133,158,108,80,86
" ","V17000 17000 Manufacture of paper and paper products",2952,2794,896,1003,842,544,1803,1227,1277,1369,1109,645,769,769,764
" ","V170000 170000 Manufacture of paper and paper products",2952,2794,896,1003,842,544,1803,1227,1277,1369,1109,645,769,769,764
" ","V18000 18000 Printing etc.",142,172,103,110,87,126,145,84,104,82,64,72,351,174,173
" ","V180000 180000 Printing etc.",142,172,103,110,87,126,145,84,104,82,64,72,351,174,173
" ","VCD CD Oil refinery etc.",2607,3273,3518,3905,3967,3842,3880,3926,4335,3437,3888,4061,4339,4187,4207
" ","V19000 19000 Oil refinery etc.",2607,3273,3518,3905,3967,3842,3880,3926,4335,3437,3888,4061,4339,4187,4207
" ","V190000 190000 Oil refinery etc.",2607,3273,3518,3905,3967,3842,3880,3926,4335,3437,3888,4061,4339,4187,4207
" ","VCE CE Manufacture of chemicals",5091,4582,4596,4648,5143,5555,5212,4798,4599,5069,5028,4575,4664,4673,4709
" ","V20000 20000 Manufacture of chemicals",5091,4582,4596,4648,5143,5555,5212,4798,4599,5069,5028,4575,4664,4673,4709
" ","V200010 200010 Manufacture of basic chemicals",3019,2684,2896,3027,2987,3550,3855,3333,2870,3406,3510,3163,3566,3497,3401
" ","V200020 200020 Manufacture of paints and soap etc.",2072,1898,1699,1622,2155,2005,1357,1466,1729,1663,1518,1412,1098,1177,1308
" ","VCF CF Pharmaceuticals",3086,2758,2941,3185,3214,3870,3981,3555,3718,3870,4056,3928,4509,4242,4224
" ","V21000 21000 Pharmaceuticals",3086,2758,2941,3185,3214,3870,3981,3555,3718,3870,4056,3928,4509,4242,4224
" ","V210000 210000 Pharmaceuticals",3086,2758,2941,3185,3214,3870,3981,3555,3718,3870,4056,3928,4509,4242,4224
" ","VCG CG Manufacture of plastic, glass and concrete",3949,4748,5205,4943,4848,5473,5438,5095,6136,6049,5925,4931,4854,4413,4408
" ","V22000 22000 Manufacture of rubber and plastic products",778,1097,1361,1191,1250,1298,1265,1156,1360,975,1354,714,781,559,636
" ","V220000 220000 Manufacture of rubber and plastic products",778,1097,1361,1191,1250,1298,1265,1156,1360,975,1354,714,781,559,636
" ","V23000 23000 Manufacture of other non-metallic mineral products",3171,3651,3844,3752,3598,4175,4174,3939,4777,5074,4570,4217,4073,3854,3771
" ","V230010 230010 Manufacture of glass and ceramic products",214,420,165,195,234,273,231,200,244,251,239,229,202,184,206
" ","V230020 230020 Manufacture of concrete and bricks",2957,3231,3679,3557,3364,3903,3943,3740,4532,4823,4332,3988,3872,3670,3566
" ","VCH CH Basic metals and fabricated metal products",1751,1717,1781,1589,1753,1884,2273,2603,2587,2201,2209,2180,1618,1793,2168
" ","V24000 24000 Manufacture of basic metals",974,1075,956,897,1003,1122,1374,1683,1721,1334,1368,1468,798,952,820
" ","V240000 240000 Manufacture of basic metals",974,1075,956,897,1003,1122,1374,1683,1721,1334,1368,1468,798,952,820
" ","V25000 25000 Manufacture of fabricated metal products",777,642,824,692,749,761,899,920,865,868,840,712,821,841,1348
" ","V250000 250000 Manufacture of fabricated metal products",777,642,824,692,749,761,899,920,865,868,840,712,821,841,1348
" ","VCI CI Manufacture of electronic components",151,245,207,189,196,176,205,127,143,134,145,91,128,91,91
" ","V26000 26000 Manufacture of electronic components",151,245,207,189,196,176,205,127,143,134,145,91,128,91,91
" ","V260010 260010 Manufacture of computers and communication equipment etc.",102,153,145,94,85,87,94,60,55,43,67,35,44,36,36
" ","V260020 260020 Manufacture of other electronic products",49,92,61,95,112,89,111,67,88,91,78,56,85,54,55
" ","VCJ CJ Electrical equipment",102,96,88,112,127,100,126,133,91,107,110,96,74,86,74
" ","V27000 27000 Electrical equipment",102,96,88,112,127,100,126,133,91,107,110,96,74,86,74
" ","V270010 270010 Manufacture of electric motors, etc.",28,32,30,25,43,39,45,74,41,31,46,49,28,34,22
" ","V270020 270020 Manufacture of wires and cables",30,32,30,29,37,39,42,36,33,19,32,19,22,29,29
" ","V270030 270030 Manufacture of household appliances, lamps, etc.",43,32,28,57,48,23,39,23,17,57,32,28,24,23,23
" ","VCK CK Manufacture of machinery",1124,1349,1445,1092,1504,1488,1262,1263,1071,968,1412,1101,1014,1058,670
" ","V28000 28000 Manufacture of machinery",1124,1349,1445,1092,1504,1488,1262,1263,1071,968,1412,1101,1014,1058,670
" ","V280010 280010 Manufacture of engines, windmills and pumps",774,1006,1068,714,1066,1010,818,909,685,663,1049,818,655,674,287
" ","V280020 280020 Manufacture of other machinery",350,342,377,378,438,478,444,354,386,305,362,283,359,384,383
" ","VCL CL Transport equipment",162,154,88,126,104,102,141,124,124,119,103,89,111,101,101
" ","V29000 29000 Manufacture of motor vehicles and related parts",58,70,58,90,66,68,100,81,72,78,59,46,48,55,55
" ","V290000 290000 Manufacture of motor vehicles and related parts",58,70,58,90,66,68,100,81,72,78,59,46,48,55,55
" ","V30000 30000 Manufacture of ships and other transport equipment",105,84,30,36,38,34,42,43,52,41,44,44,62,46,46
" ","V300000 300000 Manufacture of ships and other transport equipment",105,84,30,36,38,34,42,43,52,41,44,44,62,46,46
" ","VCM CM Manufacture of furniture and other manufacturing etc.",359,352,340,350,354,357,468,433,467,425,392,314,323,356,349
" ","V31320 31320 Manufacture of furniture and other manufacturing",192,171,179,167,187,192,265,253,278,238,203,173,183,174,168
" ","V310000 310000 Manufacture of furniture",107,110,89,100,106,97,130,113,160,88,84,67,75,73,68
" ","V320010 320010 Manufacture of medical instruments, etc.",12,12,22,19,32,22,21,36,14,49,35,21,17,29,29
" ","V320020 320020 Manufacture of toys and other manufacturing",73,48,67,49,49,73,114,104,105,101,84,85,91,73,72
" ","V33000 33000 Repair and installation of machinery and equipment",167,181,161,182,167,165,203,180,189,187,189,141,140,182,181
" ","V330000 330000 Repair and installation of machinery and equipment",167,181,161,182,167,165,203,180,189,187,189,141,140,182,181
" ","VD_E D_E Utility services",8906,9677,9536,9086,8695,8763,9051,8450,8760,8671,8818,8596,8115,7752,7543
" ","VD D Electricity, gas, steam and air conditioning supply",2881,3189,2300,2394,2637,2684,2901,2489,2619,2767,2947,2848,2862,2709,2813
" ","V35000 35000 Electricity, gas, steam and air conditioning supply",2881,3189,2300,2394,2637,2684,2901,2489,2619,2767,2947,2848,2862,2709,2813
" ","V350010 350010 Production and distribution of electricity",1141,916,813,724,656,703,690,640,746,711,741,796,773,781,806
" ","V350020 350020 Manufacture and distribution of gas",1345,1958,1175,1231,1325,1369,1702,1320,1071,1142,1273,1238,1347,1482,1394
" ","V350030 350030 Steam and hot water supply",395,315,311,440,657,612,510,530,802,914,933,814,743,447,613
" ","VE E Water supply, sewerage and waste management",6024,6488,7236,6691,6058,6079,6150,5961,6141,5904,5871,5748,5253,5042,4730
" ","V36000 36000 Water collection, purification and supply",192,189,172,163,159,149,148,139,161,142,148,144,140,141,145
" ","V360000 360000 Water collection, purification and supply",192,189,172,163,159,149,148,139,161,142,148,144,140,141,145
" ","V37390 37390 Sewerage; waste collection, treatment and disposal activities etc.",5833,6300,7064,6528,5899,5930,6002,5823,5980,5762,5723,5604,5113,4901,4585
" ","V370000 370000 Sewerage",989,1307,1128,1521,1521,1303,1300,1471,1596,1537,1608,1220,1260,1108,1136
