Discharge of water by farm type; discharge; region and time;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
 ; ; ;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
115 Freshwater aquaculture;;;;;;;;;;;;;;;;;
 ;SP Wastewater, 1,000 m3;;;;;;;;;;;;;;;;
 ; ;000 All Denmark;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;084 Region Hovedstaden;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;101 Copenhagen;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;147 Frederiksberg;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;155 Dragør;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;185 Tårnby;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;165 Albertslund;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;151 Ballerup;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;153 Brøndby;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;157 Gentofte;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;159 Gladsaxe;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;161 Glostrup;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;163 Herlev;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;167 Hvidovre;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;169 Høje-Taastrup;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;183 Ishøj;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;173 Lyngby-Taarbæk;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;175 Rødovre;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;187 Vallensbæk;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;201 Allerød;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;240 Egedal;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;210 Fredensborg;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;250 Frederikssund;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;190 Furesø;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;270 Gribskov;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;260 Halsnæs;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;217 Helsingør;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;219 Hillerød;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;223 Hørsholm;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;230 Rudersdal;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;400 Bornholm;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;411 Christiansø;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;085 Region Sjælland;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;253 Greve;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;259 Køge;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;350 Lejre;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;265 Roskilde;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;269 Solrød;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;320 Faxe;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;376 Guldborgsund;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;316 Holbæk;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;326 Kalundborg;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;360 Lolland;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;370 Næstved;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;306 Odsherred;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;329 Ringsted;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;330 Slagelse;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;340 Sorø;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;336 Stevns;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;390 Vordingborg;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;083 Region Syddanmark;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;420 Assens;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;430 Faaborg-Midtfyn;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;440 Kerteminde;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;482 Langeland;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;410 Middelfart;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;480 Nordfyns;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;450 Nyborg;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
