"Forbrug af vand (Fysiske vandregnskab) efter vandtype, branche og tid"

" "," ","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"VAFO Forbrug af vand i alt"
" ","ETOT Brancher og husholdninger",942650,960590,871960,1014920,1012155,937555,886995,895798,1105817,945594,947277,964710,958880,998350,814960
" ","EHUSHOLD Husholdninger",233871,235420,236912,240853,227456,211553,212662,228014,238685,233693,249852,248761,237578,234217,231921
" ","EV Brancher i alt",708779,725170,635048,774067,784699,726002,674333,667785,867132,711901,697426,715949,721302,764133,583039
" ","VA A Landbrug, skovbrug og fiskeri",542309,562933,473335,620323,625893,563619,508623,519274,703452,552865,530803,559680,566993,606224,421260
" ","V01000 01000 Landbrug og gartneri",247296,263775,168958,294510,312812,238701,230216,245844,418099,285997,245248,277836,301892,339207,142550
" ","V010000 010000 Landbrug og gartneri",247296,263775,168958,294510,312812,238701,230216,245844,418099,285997,245248,277836,301892,339207,142550
" ","V02000 02000 Skovbrug",98,191,203,114,129,165,136,102,97,159,100,128,105,101,100
" ","V020000 020000 Skovbrug",98,191,203,114,129,165,136,102,97,159,100,128,105,101,100
" ","V03000 03000 Fiskeri",294915,298967,304173,325700,312952,324753,278271,273328,285256,266710,285455,281716,264996,266916,278610
" ","V030000 030000 Fiskeri",294915,298967,304173,325700,312952,324753,278271,273328,285256,266710,285455,281716,264996,266916,278610
" ","VB B Råstofindvinding",8300,8313,9473,8602,7170,8527,7932,7470,8872,9407,14604,9604,6749,9603,13508
" ","V06090 06090 Råstofindvinding",8300,8313,9473,8602,7170,8527,7932,7470,8872,9407,14604,9604,6749,9603,13508
" ","V060000 060000 Indvinding af olie og gas",8,8,7,6,7,7,14,15,29,23,12,12,13,22,21
" ","V080090 080090 Indvinding af grus og sten",8211,8292,9431,8559,7131,8483,7872,7431,8819,9319,14560,9582,6693,9539,13444
" ","V090000 090000 Service til råstofindvinding",80,14,35,37,32,37,46,24,24,65,32,10,43,42,42
" ","VC C Industri",59540,57371,57891,56384,62591,62650,63586,57793,64229,61565,61961,60074,59920,58734,58203
" ","VCA CA Føde-, drikke- og tobaksvareindustri",33207,30346,31958,30395,35624,33924,33473,29639,34504,32392,32384,33238,32397,32145,31646
" ","V10120 10120 Føde-, drikke- og tobaksvareindustri",33207,30346,31958,30395,35624,33924,33473,29639,34504,32392,32384,33238,32397,32145,31646
" ","V100010 100010 Slagterier",9511,8173,9003,8895,9650,9950,10053,7865,8846,9037,8398,8933,8735,7711,7750
" ","V100020 100020 Fiskeindustri",2309,1943,1725,1833,2014,2410,2499,2170,2094,1712,1982,1821,1669,1468,1452
" ","V100030 100030 Mejerier",7543,6727,7518,8435,10555,8591,8148,8454,10148,10265,10172,10095,9366,9763,9760
" ","V100040 100040 Bagerier, brødfabrikker mv.",1907,1740,2234,1364,2291,2144,1643,1559,1614,2203,2069,1774,2087,2056,2126
" ","V100050 100050 Anden fødevareindustri",6031,5701,6289,5087,6245,5852,5938,5127,6564,4813,5981,7556,7528,7713,7104
" ","V110000 110000 Drikkevareindustri",5857,6037,5164,4742,4853,4949,5178,4449,5224,4345,3767,3049,3002,3431,3450
" ","V120000 120000 Tobaksindustri",50,26,25,41,15,27,13,16,14,16,16,10,9,4,4
" ","VCB CB Tekstil- og læderindustri",435,400,271,257,219,222,260,225,246,220,209,199,199,224,220
" ","V13150 13150 Tekstil- og læderindustri",435,400,271,257,219,222,260,225,246,220,209,199,199,224,220
" ","V130000 130000 Tekstilindustri",301,366,261,239,203,205,232,197,215,201,178,159,165,174,170
