"ogc_fid";"id";"gkoid";"kortnavn";"kote";"enhed";"koteenhed";"potentialetype";"opretdato";"opretbruger";"opdateringdato";"magasin";"shape_wkt"
96502;96502;20220057;"Sydbornholm";0;"kote";"meter";"Magasinspecifik";"2023-07-03 00:00:00.0";"simak";"2023-07-03 00:00:00.0";"Vandspjel";"MULTILINESTRING ((882572.6634268062 6111191.757094204, 882571.6297971337 6111192.364630914, 882465.0349750197 6111282.0595458085, 882464.3693936234 6111283.1044750335, 882463.2385900747 6111283.436305347, 882364.9484719838 6111274.973807135, 882363.4183383923 6111274.958845318, 882256.7916914257 6111364.680398018, 882255.0174848225 6111366.143942003, 882156.8118203487 6111357.688638078, 882154.8838863575 6111361.308191676, 882052.304202793 6111447.624266318, 882047.6882118857 6111448.049274811, 882046.4935543898 6111452.372426777, 881951.8935125176 6111444.2274820795, 881946.5090782195 6111445.806938777, 881853.9371388511 6111437.836616839, 881846.6905059444 6111437.315645382, 881746.2593078382 6111521.82374743, 881739.8114266321 6111522.252015582, 881738.8166833778 6111522.383446921, 881737.2398660992 6111522.604926576))"
96503;96503;20220057;"Sydbornholm";100;"kote";"meter";"Magasinspecifik";"2023-07-03 00:00:00.0";"simak";"2023-07-03 00:00:00.0";"Vandspjel";"MULTILINESTRING ((878581.4398973563 6122324.229968972, 878596.6948286374 6122318.08435662, 878601.7527447221 6122316.1466844445, 878615.6278659109 6122312.451855267, 878676.7367325566 6122295.245190461, 878703.2096115598 6122248.859119343, 878722.8150208779 6122239.984411832, 878748.6206485434 6122223.368471279, 878807.293193798 6122207.838506495, 878862.0343129322 6122185.404445537, 878913.0670247438 6122147.210368994, 878942.1520921035 6122139.503281897, 879001.8963806769 6122131.588197054, 879015.4753341572 6122125.626291524, 879041.4162183095 6122122.39729444, 879116.3811280971 6122121.47390909, 879190.8212883123 6122136.090742106, 879215.5210441498 6122137.808498989, 879284.008352298 6122103.446009985, 879320.799670011 6122082.92917776, 879336.518638099 6122089.2099535, 879418.0395502029 6122121.308313848, 879448.8796327674 6122112.73619837, 879518.0957975776 6122127.015889126, 879560.0053658417 6122134.794049199, 879616.9623437892 6122146.526215456, 879679.4050680948 6122166.6867745165, 879744.9308524814 6122178.524636373, 879758.0471412288 6122209.833619869, 879776.114838018 6122244.859174838, 879806.9024573665 6122275.955038749, 879831.1749567292 6122291.107232663, 879981.7860889169 6122306.049262809, 880005.291826206 6122307.3694324205, 880036.5489861621 6122334.389453742))"
96504;96504;20220057;"Sydbornholm";10;"kote";"meter";"Magasinspecifik";"2023-07-03 00:00:00.0";"simak";"2023-07-03 00:00:00.0";"Vandspjel";"MULTILINESTRING ((883889.1714773676 6111838.322342684, 883734.7767158295 6111865.2029158445))"
96505;96505;20220057;"Sydbornholm";70;"kote";"meter";"Magasinspecifik";"2023-07-03 00:00:00.0";"simak";"2023-07-03 00:00:00.0";"Vandspjel";"MULTILINESTRING ((883256.8733242801 6118166.474979617, 883178.6692394677 6118153.653267303))"
96506;96506;20220057;"Sydbornholm";105;"kote";"meter";"Magasinspecifik";"2023-07-03 00:00:00.0";"simak";"2023-07-03 00:00:00.0";"Vandspjel";"MULTILINESTRING ((880007.9406849355 6122557.206386247, 879983.9429580728 6122555.028506566, 879890.005256498 6122527.0539641725, 879885.6892391111 6122528.405584662, 879881.3038778789 6122526.641779252, 879789.8213169363 6122474.107250903, 879760.1690444399 6122470.960621504, 879688.9650578151 6122477.677142575, 879633.9338826134 6122457.041800368, 879590.679341618 6122451.428480622, 879528.1268191176 6122453.486127355, 879491.3910426542 6122436.811376565, 879453.461532688 6122448.282252203, 879422.1269480579 6122482.521795393, 879402.6128961373 6122497.873450283, 879385.0427248664 6122504.095314961, 879352.3028698367 6122508.834093957, 879230.2464798255 6122513.053277161, 879182.8120289308 6122517.256074964, 879137.3837731773 6122512.703322697, 879082.6014797513 6122513.342015314, 879045.2831400755 6122513.25912734, 878983.4767693403 6122496.832803261, 878937.4231167198 6122495.082110415, 878882.9091417221 6122497.063219637, 878849.076036139 6122500.09946122, 878781.2243577323 6122510.254284715, 878768.3747117849 6122514.205004546, 878725.686802709 6122523.034235486, 878679.1483458653 6122527.9848502185, 878668.2058681 6122528.939371887, 878517.3748228373 6122545.946759652))"
96507;96507;20220057;"Sydbornholm";110;"kote";"meter";"Magasinspecifik";"2023-07-03 00:00:00.0";"simak";"2023-07-03 00:00:00.0";"Vandspjel";"MULTILINESTRING ((878548.2557811976 6122722.417967833, 878561.112698902 6122730.8531582495, 878612.6151347003 6122769.189245912, 878656.7148204301 6122788.220083493, 878686.2790770428 6122791.438115463, 878754.9092586807 6122815.516710253, 878813.214822232 6122832.222462753, 878635.3097780949 6122830.035669025))"
96508;96508;20220057;"Sydbornholm";110;"kote";"meter";"Magasinspecifik";"2023-07-03 00:00:00.0";"simak";"2023-07-03 00:00:00.0";"Vandspjel";"MULTILINESTRING ((880022.3330339168 6122684.348422989, 879973.4172447217 6122677.130323946, 879912.5668284097 6122685.478763647, 879871.7545667908 6122690.052594375, 879834.5343453976 6122681.1853042245, 879800.0283701393 6122716.195324779, 879782.8241122321 6122729.752754229, 879767.9888587827 6122727.3715379, 879697.2676594984 6122738.087948748, 879687.3956334596 6122807.034283736, 879658.2621176664 6122833.840029797, 879598.0542553689 6122840.223364743, 879585.2822378236 6122898.779888694, 878424.9571631569 6122867.109422684))"
96509;96509;20220057;"Sydbornholm";115;"kote";"meter";"Magasinspecifik";"2023-07-03 00:00:00.0";"simak";"2023-07-03 00:00:00.0";"Vandspjel";"MULTILINESTRING ((879571.3663537118 6122911.644504061, 879783.0118653995 6122915.825595885, 879806.0349013003 6122867.377119625, 879855.5158044434 6122878.424230574, 879934.2330726648 6122852.389074465, 879958.1399983304 6122854.348616785, 879978.1967780474 6122851.953484933))"
96510;96510;20220057;"Sydbornholm";95;"kote";"meter";"Magasinspecifik";"2023-07-03 00:00:00.0";"simak";"2023-07-03 00:00:00.0";"Vandspjel";"MULTILINESTRING ((878588.8670553938 6122109.0501991445, 878608.3292184994 6122103.899349983, 878615.3068455248 6122102.169101436, 878680.1722209647 6122079.2641822025, 878719.9290030412 6122054.89869199, 878768.4745258628 6122031.478781636))"
96529;96529;20220057;"Sydbornholm";90;"kote";"meter";"Magasinspecifik";"2023-07-03 00:00:00.0";"simak";"2023-07-03 00:00:00.0";"Vandspjel";"MULTILINESTRING ((879224.7998684556 6120863.625150574, 879231.0756011736 6120857.284942656, 879231.6191989977 6120851.55294042, 879254.5855612949 6120758.763283885, 879269.3297778314 6120688.962354195, 879321.5063138442 6120663.982988683, 879312.0020896194 6120598.787102782, 879251.2692787477 6120557.381634524, 879251.1961151221 6120557.355832504, 879251.1823446739 6120557.360799773, 879151.4446374846 6120548.1154507175, 879151.0462354755 6120548.36721794, 879149.5608140969 6120548.615900593, 879047.498376272 6120587.5480135735, 879012.8841525574 6120604.205549144, 878944.3174146631 6120618.101832823, 878937.2444641492 6120624.3288004985, 878835.5512398658 6120721.91911215, 878834.9238049998 6120722.594032306, 878834.7548501848 6120722.701057177, 878798.1652604634 6120789.107186243, 878727.561994316 6120799.805331891, 878648.8712592477 6120786.404509164))"
