"ogc_fid";"id";"gkoid";"kortnavn";"kote";"enhed";"koteenhed";"potentialetype";"opretdato";"opretbruger";"opdateringdato";"magasin";"shape_wkt"
65990;65990;20200006;"Ringk�bing-Skjern";-480;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461338.94348100916 6195638.943357294, 461299.9999995633 6195651.92553503, 461099.999999561 6195651.925535031))"
65991;65991;20200006;"Ringk�bing-Skjern";-485;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461338.5681147981 6195638.567991084, 461299.9999995634 6195651.4250467485, 461099.99999956106 6195651.4250467485))"
65992;65992;20200006;"Ringk�bing-Skjern";-490;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461338.1927485871 6195638.192624873, 461299.9999995634 6195650.924558467, 461099.99999956106 6195650.924558467))"
65993;65993;20200006;"Ringk�bing-Skjern";-495;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461337.81738237623 6195637.817258662, 461299.99999956327 6195650.424070187, 461099.99999956106 6195650.424070185))"
65994;65994;20200006;"Ringk�bing-Skjern";-500;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461337.44201616547 6195637.441892453, 461299.9999995633 6195649.923581905, 461099.999999561 6195649.923581905))"
65995;65995;20200006;"Ringk�bing-Skjern";-505;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461337.0681758333 6195637.066526241, 461299.99999956327 6195649.4230936235, 461099.999999561 6195649.423093624))"
65996;65996;20200006;"Ringk�bing-Skjern";-510;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461336.6928096223 6195636.69116003, 461299.9999995634 6195648.922605342, 461099.9999995612 6195648.922605342))"
65997;65997;20200006;"Ringk�bing-Skjern";-515;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461336.3174434114 6195636.315793819, 461299.9999995633 6195648.422117061, 461099.9999995611 6195648.422117061))"
65998;65998;20200006;"Ringk�bing-Skjern";-520;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461335.9420772004 6195635.940427608, 461299.9999995632 6195647.92162878, 461099.99999956094 6195647.92162878))"
65999;65999;20200006;"Ringk�bing-Skjern";-525;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461335.56671098946 6195635.568113155, 461299.9999995634 6195647.421140498, 461099.99999956094 6195647.4211404985))"
66000;66000;20200006;"Ringk�bing-Skjern";-530;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461335.1913447785 6195635.192746944, 461299.9999995633 6195646.920652216, 461099.99999956106 6195646.920652217))"
66001;66001;20200006;"Ringk�bing-Skjern";-535;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461334.81597856764 6195634.817380733, 461299.9999995633 6195646.423215694, 461099.9999995611 6195646.423215695))"
66002;66002;20200006;"Ringk�bing-Skjern";-540;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461334.4406123567 6195634.442014521, 461299.9999995633 6195645.922727412, 461099.99999956106 6195645.922727412))"
66003;66003;20200006;"Ringk�bing-Skjern";-545;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461334.0667720245 6195634.066648311, 461299.9999995632 6195645.422239131, 461099.99999956106 6195645.422239132))"
66004;66004;20200006;"Ringk�bing-Skjern";-550;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461333.6914058137 6195633.6912821, 461299.99999956327 6195644.92175085, 461099.99999956106 6195644.921750849))"
66005;66005;20200006;"Ringk�bing-Skjern";-555;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461333.3160396028 6195633.315915889, 461299.9999995633 6195644.421262568, 461099.999999561 6195644.421262568))"
66006;66006;20200006;"Ringk�bing-Skjern";-560;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461332.9406733918 6195632.940549678, 461299.99999956327 6195643.9207742885, 461099.9999995611 6195643.920774288))"
66007;66007;20200006;"Ringk�bing-Skjern";-565;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461332.565307181 6195632.565183467, 461299.9999995633 6195643.420286007, 461099.99999956106 6195643.420286006))"
66008;66008;20200006;"Ringk�bing-Skjern";-570;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461332.1899409699 6195632.189817256, 461299.99999956327 6195642.919797724, 461099.99999956106 6195642.919797726))"
66009;66009;20200006;"Ringk�bing-Skjern";-575;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461331.814574759 6195631.814451045, 461299.99999956327 6195642.419309444, 461099.99999956106 6195642.419309443))"
66010;66010;20200006;"Ringk�bing-Skjern";-580;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461331.43920854805 6195631.439084834, 461299.9999995633 6195641.9188211635, 461099.99999956106 6195641.9188211635))"
66011;66011;20200006;"Ringk�bing-Skjern";-585;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461331.06536821596 6195631.0637186235, 461299.9999995634 6195641.418332881, 461099.999999561 6195641.418332881))"
66012;66012;20200006;"Ringk�bing-Skjern";-590;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461330.6900020051 6195630.688352412, 461299.99999956327 6195640.9178446, 461099.99999956106 6195640.9178446))"
66013;66013;20200006;"Ringk�bing-Skjern";-595;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461330.31463579414 6195630.312986201, 461299.99999956327 6195640.420408077, 461140.4190059091 6195640.420408077, 461099.999999561 6195640.417356319))"
66014;66014;20200006;"Ringk�bing-Skjern";-600;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461329.93926958315 6195629.93761999, 461299.9999995633 6195639.919919794, 461099.99999956106 6195639.919919795))"
66015;66015;20200006;"Ringk�bing-Skjern";-605;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461329.56390337215 6195629.565305538, 461299.99999956327 6195639.419431513, 461099.9999995611 6195639.419431514))"
66016;66016;20200006;"Ringk�bing-Skjern";-610;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461329.1885371613 6195629.189939327, 461299.9999995633 6195638.918943232, 461099.9999995611 6195638.918943232))"
66017;66017;20200006;"Ringk�bing-Skjern";-615;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461328.8131709504 6195628.814573116, 461299.99999956327 6195638.418454952, 461099.999999561 6195638.418454952))"
66018;66018;20200006;"Ringk�bing-Skjern";-620;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461328.43780473946 6195628.439206905, 461299.9999995633 6195637.91796667, 461099.99999956106 6195637.91796667))"
66019;66019;20200006;"Ringk�bing-Skjern";-625;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461328.06396440737 6195628.063840694, 461299.9999995633 6195637.417478388, 461099.999999561 6195637.417478388))"
66020;66020;20200006;"Ringk�bing-Skjern";-630;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461327.6885981963 6195627.688474482, 461299.99999956327 6195636.916990108, 461099.99999956106 6195636.916990108))"
66021;66021;20200006;"Ringk�bing-Skjern";-635;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461327.3132319855 6195627.313108273, 461299.9999995633 6195636.416501827, 461099.999999561 6195636.416501827))"
66022;66022;20200006;"Ringk�bing-Skjern";-640;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461326.9378657745 6195626.937742061, 461299.9999995634 6195635.916013544, 461099.99999956106 6195635.916013545))"
66023;66023;20200006;"Ringk�bing-Skjern";-645;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461326.5624995637 6195626.56237585, 461299.9999995634 6195635.415525264, 461099.99999956106 6195635.415525264))"
66024;66024;20200006;"Ringk�bing-Skjern";-650;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461326.1871333527 6195626.187009639, 461299.9999995634 6195634.915036983, 461099.99999956106 6195634.915036984))"
66025;66025;20200006;"Ringk�bing-Skjern";-655;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461325.81176714174 6195625.811643428, 461299.9999995634 6195634.4176004585, 461199.9999995621 6195634.41760046, 461165.58380083134 6195634.414548701, 461099.99999956106 6195634.414548701))"
66026;66026;20200006;"Ringk�bing-Skjern";-660;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461325.43640093075 6195625.436277218, 461299.9999995633 6195633.917112179, 461099.99999956106 6195633.917112178))"
66027;66027;20200006;"Ringk�bing-Skjern";-665;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461325.0625605986 6195625.060911006, 461299.99999956327 6195633.416623897, 461099.9999995611 6195633.416623896))"
66028;66028;20200006;"Ringk�bing-Skjern";-670;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461324.68719438784 6195624.685544795, 461299.99999956327 6195632.916135616, 461099.99999956106 6195632.916135616))"
66029;66029;20200006;"Ringk�bing-Skjern";-675;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461324.3118281769 6195624.310178584, 461299.9999995633 6195632.4156473335, 461099.99999956106 6195632.4156473335))"
66030;66030;20200006;"Ringk�bing-Skjern";-680;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461323.93646196596 6195623.9348123735, 461299.9999995633 6195631.915159053, 461099.999999561 6195631.915159053))"
66031;66031;20200006;"Ringk�bing-Skjern";-685;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461323.56109575497 6195623.562497919, 461299.99999956327 6195631.414670772, 461099.999999561 6195631.414670772))"
66032;66032;20200006;"Ringk�bing-Skjern";-690;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461323.1857295441 6195623.187131709, 461299.9999995633 6195630.914182491, 461099.9999995611 6195630.914182491))"
66033;66033;20200006;"Ringk�bing-Skjern";-695;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461322.8103633331 6195622.8117654985, 461299.9999995633 6195630.4136942085, 461099.999999561 6195630.413694209))"
66034;66034;20200006;"Ringk�bing-Skjern";-700;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461322.43499712215 6195622.436399287, 461299.9999995633 6195629.913205929, 461099.999999561 6195629.913205928))"
66035;66035;20200006;"Ringk�bing-Skjern";-705;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461322.0611567901 6195622.061033077, 461299.99999956327 6195629.412717647, 461099.99999956106 6195629.412717647))"
66036;66036;20200006;"Ringk�bing-Skjern";-710;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461321.6857905792 6195621.685666866, 461299.9999995633 6195628.912229366, 461099.999999561 6195628.912229367))"
66037;66037;20200006;"Ringk�bing-Skjern";-715;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461321.3104243682 6195621.310300655, 461299.9999995633 6195628.414792841, 461271.58660844975 6195628.4117410835, 461099.99999956106 6195628.4117410835))"
66038;66038;20200006;"Ringk�bing-Skjern";-720;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461320.9350581573 6195620.934934445, 461299.9999995634 6195627.914304561, 461099.9999995611 6195627.914304561))"
66039;66039;20200006;"Ringk�bing-Skjern";-725;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461320.5596919464 6195620.559568234, 461299.99999956327 6195627.41381628, 461099.9999995611 6195627.413816279))"
66040;66040;20200006;"Ringk�bing-Skjern";-730;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461320.1843257354 6195620.184202022, 461299.9999995633 6195626.9133279985, 461099.9999995611 6195626.9133279985))"
66041;66041;20200006;"Ringk�bing-Skjern";-735;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461319.8089595245 6195619.808835811, 461299.99999956327 6195626.412839717, 461099.99999956106 6195626.412839716))"
66042;66042;20200006;"Ringk�bing-Skjern";-740;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461319.4335933135 6195619.4334696, 461299.9999995633 6195625.912351436, 461099.99999956106 6195625.912351437))"
66043;66043;20200006;"Ringk�bing-Skjern";-745;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461319.05822710256 6195619.058103389, 461299.9999995633 6195625.411863155, 461099.9999995611 6195625.411863155))"
66044;66044;20200006;"Ringk�bing-Skjern";-750;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461318.6843867707 6195618.682737177, 461299.9999995633 6195624.9113748735, 461099.99999956106 6195624.911374873))"
66045;66045;20200006;"Ringk�bing-Skjern";-755;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461318.3090205596 6195618.307370967, 461299.9999995633 6195624.410886592, 461099.99999956106 6195624.410886592))"
66046;66046;20200006;"Ringk�bing-Skjern";-760;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461317.9336543487 6195617.932004756, 461299.9999995634 6195623.91039831, 461099.9999995611 6195623.91039831))"
66047;66047;20200006;"Ringk�bing-Skjern";-765;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461317.5582881377 6195617.556638545, 461299.9999995633 6195623.40991003, 461099.999999561 6195623.409910031))"
66048;66048;20200006;"Ringk�bing-Skjern";-770;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461317.18292192684 6195617.184324092, 461299.9999995633 6195622.9094217485, 461099.999999561 6195622.9094217485))"
66049;66049;20200006;"Ringk�bing-Skjern";-775;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461316.8075557159 6195616.808957881, 461299.9999995633 6195622.408933467, 461099.9999995611 6195622.408933467))"
66050;66050;20200006;"Ringk�bing-Skjern";-780;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461316.43218950497 6195616.43359167, 461299.9999995633 6195621.911496944, 461099.9999995611 6195621.911496943))"
66051;66051;20200006;"Ringk�bing-Skjern";-785;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand8";"MULTILINESTRING ((461316.056823294 6195616.058225459, 461299.9999995633 6195621.411008663, 461099.99999956106 6195621.411008663))"
